country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Barbados,9430,9380,9060,9280,9620,9950,10.5k,11.2k,11.7k,11.9k,12.6k,12.5k,12.7k,13.2k,13.8k,14.5k,15.6k,16.6k,16.8k,16.1k,16.2k,15.7k,15.1k,15.1k,14.9k,15.2k,15.6k,15.5k,15.6k,15.8k,14.3k,14.8k
Brunei,55.2k,57.1k,59.5k,59.5k,61.2k,63.7k,65.2k,63.9k,62.8k,64.3k,66.2k,68.2k,70.5k,72.6k,73.6k,74.9k,79.3k,80.7k,79.3k,77.4k,78.2k,80.1k,84.5k,81.4k,80k,64.7k,59.5k,63.8k,61.5k,65.7k,66.9k,66.5k
Bhutan,1380,1360,1470,1630,1800,1840,1970,2140,2090,2160,2710,2920,3160,3370,3570,3910,4300,5100,5310,5570,6130,6640,7080,7240,7860,8640,9390,10k,10.5k,11.2k,10.4k,11.3k
Botswana,5650,6380,6610,6990,6330,7080,7090,7830,8230,8300,8360,8730,8210,8950,9150,9950,11.3k,12.3k,12.5k,11k,11.7k,12.9k,12.3k,12.8k,14.1k,13k,14k,13.4k,13.8k,14.9k,14.1k,15.4k
Central African Republic,620,620,580,570,590,630,600,630,650,670,640,680,690,660,700,710,750,790,800,870,910,950,1030,690,680,740,800,880,940,960,940,980
Canada,,,,,,,,24.5k,25.4k,26.9k,28.6k,29.4k,30.2k,31.6k,33.2k,35.6k,37.5k,39k,39.8k,38.2k,39.3k,40.9k,41.5k,43.6k,45k,44k,45.9k,47.7k,49.1k,48.7k,46k,51.7k
Switzerland,,,,,,31.5k,32.3k,34.1k,35.5k,36.7k,39.1k,39.3k,39.8k,41.3k,42.7k,45.1k,49.8k,51.4k,50.6k,54.2k,57.9k,58.5k,61.1k,63.4k,64.2k,66.8k,67.8k,68.2k,68.8k,69.4k,69.2k,75.8k
Chile,4240,4670,5350,5880,6250,7040,7780,8420,8810,8750,9240,9700,10k,10.4k,10.9k,11.7k,14k,15.2k,15.3k,15k,16.9k,18.6k,20.4k,21.4k,21.8k,22.1k,22.8k,23.6k,24.5k,24.3k,23.3k,27k
China,980,1100,1260,1450,1660,1830,2030,2240,2410,2620,2880,3160,3500,3910,4420,5020,5830,6830,7630,8290,9220,10.2k,11.1k,11.8k,12.5k,12.8k,13.4k,14.2k,15.4k,16.6k,17.1k,19.2k
Cote d'Ivoire,2480,2500,2480,2440,2480,2620,1830,1940,1990,2010,1880,1840,1810,1750,1860,2060,2110,2150,2280,2340,2460,2250,2490,2650,4180,4480,4550,4610,4880,5200,5220,5670
Cameroon,1940,1840,1780,1640,1650,1680,1740,1800,1870,1940,1970,2030,2110,2260,2450,2500,2640,2730,2800,2840,2860,2930,2980,3140,3340,3390,3500,3620,3750,3830,3780,3970
"Congo, Dem. Rep.",,,,,490,470,510,480,460,430,420,400,410,430,460,480,510,540,550,560,590,620,620,670,750,810,910,990,1030,1040,1070,1110
"Congo, Rep.",2900,3000,3180,2920,2890,2120,2170,2610,2820,2520,2700,2750,2910,2970,2840,3270,3910,3580,3920,4450,4790,4680,5740,5680,5770,4420,3550,3500,3640,3430,3030,3400
Colombia,4880,5070,5300,5650,6050,6380,6490,6710,6730,6440,6610,6740,6900,7150,7610,8200,8890,9590,9940,10.1k,10.4k,11.2k,11.6k,12.4k,13k,13.2k,13.8k,14.1k,14.8k,15.4k,14.7k,16.5k
Comoros,1510,1440,1580,1620,1530,1580,1560,1610,1610,1640,1820,1870,1890,1930,1980,2060,2140,2180,2260,2300,2370,2460,2650,2800,2900,2900,3070,3260,3390,3450,3410,3560
Cape Verde,990,1010,1120,1220,1440,1630,1800,1990,2210,2430,2760,2880,2990,3150,3510,3770,4120,4910,5240,5160,5140,5420,5270,5300,5180,5490,5800,6100,6530,6970,5940,6590
Costa Rica,4740,4980,5440,5830,6150,6360,6450,6760,7090,7210,7440,7730,7980,8350,8860,9410,10.3k,11.4k,12.1k,11.7k,12.3k,13k,13.7k,14.3k,15.3k,16.2k,18.1k,19.1k,20k,21.1k,20.9k,21.8k
Cayman Islands,,,,,,,,,,,,,,,,,,,,,62.8k,64.5k,44.1k,38.6k,37.2k,38.6k,42.3k,46.6k,50.8k,55.9k,52.5k,
Cyprus,13.3k,13.5k,14.7k,14.8k,15.6k,16.2k,16.5k,16.8k,19.3k,18.5k,19.5k,21.2k,22.3k,23.3k,24.5k,26.3k,28.4k,30.8k,34.3k,33.8k,33k,34.3k,31.7k,30.1k,29.4k,31.7k,34.5k,37.3k,39.2k,40.4k,37.8k,40.4k
Czech Republic,,,11.8k,12.1k,12.7k,13.7k,14.5k,14.6k,14.8k,15.1k,15.9k,17.1k,17.6k,18.9k,19.9k,21.1k,22.4k,24.6k,26.3k,25.8k,25.8k,26.7k,27.4k,28.9k,30.3k,31.6k,33.7k,36.6k,38.9k,40.3k,40.3k,43.4k
Germany,19.7k,21.1k,21.8k,21.9k,22.8k,23.5k,24.1k,24.5k,25.2k,26.1k,27.1k,28.2k,28.9k,29.6k,31.5k,32.1k,34.7k,36.8k,38.2k,37.6k,39.7k,43.6k,44.4k,46k,48k,48.7k,51.8k,54.3k,57k,57.5k,56.4k,59.6k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,3680,3860,4100,4130,4250,4470,4820,4860,5300
Dominica,4240,4420,4630,4870,4890,5100,5270,5540,5880,5810,5850,6300,6140,6670,6960,7300,8220,8900,9780,9850,10.1k,10.3k,10k,10.1k,10.8k,10.9k,11.7k,11.6k,12.2k,12.7k,11k,12k
Denmark,17.6k,18.4k,19.2k,19.7k,21.2k,22.3k,23.3k,24.5k,25.4k,26.4k,28k,29k,30.3k,30.5k,33k,34.4k,37.8k,39.2k,41.7k,40.7k,43.7k,45.3k,45.8k,48.2k,49.6k,50.5k,53.3k,56.6k,59.1k,60.4k,62.3k,66.7k
Dominican Republic,3540,3610,4020,4270,4420,4680,4990,5440,5760,6080,6420,6620,6930,6710,6860,7860,8780,9540,10.1k,10.1k,10.9k,11.3k,11.3k,11.8k,12.7k,14k,15.2k,15.7k,17.1k,18.1k,16.8k,19.4k
Algeria,6720,6570,6760,6690,6590,6770,7040,7180,7550,7750,8090,8580,8990,9710,10.2k,10.9k,11.4k,12.2k,12.6k,12.6k,13.1k,13.4k,13.2k,12.8k,12.8k,11.8k,11.6k,11.6k,11.7k,11.8k,11.2k,11.9k
Ecuador,4350,4650,4830,4980,5220,5370,5440,5700,5820,5380,5470,5820,6080,6250,6790,7300,7760,8000,8670,8650,8980,9710,10.2k,11k,11.5k,10.9k,10.9k,11.4k,11.6k,11.5k,10.6k,11.5k
Egypt,3550,3740,3900,4010,4160,4360,4560,4790,5030,5270,5610,5850,5900,6070,6350,6700,7300,7900,8460,8670,8850,8940,10.3k,10.3k,10.1k,10.7k,10.4k,10.2k,10.8k,11.2k,11.6k,12.3k
Eritrea,,,960,1080,1290,1300,1350,1470,1510,1510,1460,1580,1590,1510,1500,1560,1570,1610,1440,1460,1480,1610,,,,,,,,,,
Spain,13.5k,14.3k,14.7k,14.9k,15.3k,16.1k,16.7k,17.7k,18.9k,19.8k,21.4k,22.6k,24.1k,24.8k,25.9k,27.2k,30.1k,31.7k,32.3k,31.5k,31.2k,31.3k,31.5k,32.2k,33.4k,34.9k,37.4k,39.5k,40.8k,41.8k,38k,40.9k
Estonia,,,,,,,,,,,9070,9810,11.1k,12.4k,13.7k,15.9k,18.3k,20.5k,21.6k,19.9k,20.5k,23.3k,24.9k,26.8k,28.1k,28.5k,30.6k,33k,35.5k,37.1k,37.3k,41.5k
Ethiopia,410,380,340,380,390,410,450,460,430,450,470,510,510,490,560,630,700,780,860,910,1010,1110,1190,1260,1480,1620,1840,1980,2110,2260,2360,2530
